# =====================================================================
# data/herbicides.csv — Populated from IPM-0028A (2026), Table 1.
# Cross-referenced with Table 4 for grazing/hay/slaughter waiting periods.
#
# Field semantics:
#   forage_type:
#       bermuda_est | perennial_grass | sorghum | legume |
#       fescue_conv | dormant_bermuda | pasture_renovation | winter_grain
#   application_type:        PRE | POST | PPI
#   legume_sensitivity:      KILLS | INJURES_RECOVERS | SAFE | UNKNOWN
#   *_days fields:           integer days, OR "next_season", OR "unknown"
#   slaughter_withdrawal_days: integer days, OR "none", OR "unknown"
#   product_mow_wait_*_days: integer days, OR "none"
#
# Where the guide is silent on a field, the value is "unknown" — this
# routes the product to MANUAL_REVIEW when that gate is exercised.
# Lines starting with # are ignored.
# =====================================================================
unique_id,trade_name,active_ingredient,forage_type,application_type,rate_per_acre,timing_constraints,RUP_flag,lactating_dairy_days,beef_grazing_days,hay_phi_days,slaughter_withdrawal_days,legume_sensitivity,off_farm_hay_restricted,off_farm_manure_restricted,volatilization_risk,product_mow_wait_before_days,product_mow_wait_after_days,comments_structured,guide_page_ref
IPM-001,Various (4 lb/gal),diuron,bermuda_est,PRE,0.8-2.4 qt,Apply after sprigs are planted but before emergence of bermudagrass or weeds,false,70,70,70,none,UNKNOWN,false,false,false,none,none,Plant sprigs 2 inches deep in well-prepared seedbed. Do not treat areas where sprigs are planted less than 2 inches deep,Table 1 p.3
IPM-002,Various (4 lb/gal),dicamba,bermuda_est,POST,8-16 fl oz,Apply after bermudagrass is planted but before germinating weeds reach 1 inch in height,false,7,0,7,30,KILLS,false,false,true,none,none,Will kill or injure legumes. Do not use on bentgrass carpetgrass buffalograss and St. Augustine grass,Table 1 p.3
IPM-003,"Various 2,4-D + dicamba","2,4-D + dicamba",bermuda_est,POST,2-4 pt,Apply after bermudagrass is planted but before germinating weeds reach 1 inch in height,false,7,0,7,30,KILLS,false,false,true,none,none,Do not spray on legumes. Use NIS at 0.25 percent v/v,Table 1 p.3
IPM-004,Prowl H2O,pendimethalin,perennial_grass,PRE,1.1-4.2 qt,Apply preemergence before weeds emerge,false,0,0,0,0,UNKNOWN,false,false,false,none,none,Rainfall is necessary for herbicide activation into soil,Table 1 p.3
IPM-005,Rezilon,indaziflam,perennial_grass,PRE,3-5 fl oz,Apply soon after harvest or during dormancy several weeks prior to weed seed germination,false,0,0,0,none,UNKNOWN,false,false,false,none,none,Apply only to established perennial warm season grasses. Do not exceed 5 fl oz per acre per application or 6 fl oz per year,Table 1 p.3
IPM-006,"2,4-D Amine","2,4-D",perennial_grass,POST,2-4 pt,Apply to weeds 2 to 6 inches tall,false,14,7,30,7,KILLS,false,false,false,none,none,Apply low volatile esters October through March. Apply only nonvolatile amine forms April through late June. Do not spray on legumes such as clovers lespedeza or alfalfa,Table 1 p.4
IPM-007,"2,4-D LV Ester","2,4-D ester",perennial_grass,POST,2 qt,Apply November or December when winter annuals emerge and repeat in late February or March,false,14,7,30,7,KILLS,false,false,true,none,none,Apply when temperature is 65F or above. Do not spray on legumes such as clovers lespedeza or alfalfa,Table 1 p.4
IPM-008,Aim EC,carfentrazone-ethyl,perennial_grass,POST,0.5-2 fl oz,Apply when weeds are smaller than 4 inches tall,false,0,0,0,none,UNKNOWN,false,false,false,none,7,Can be used on all pasture grasses. Do not make applications less than 7 days apart. Do not apply more than 3 applications per season,Table 1 p.4
IPM-009,Chaparral,aminopyralid + metsulfuron methyl,perennial_grass,POST,1.5-3.3 oz,Apply at 2.0 oz per acre to provide control of most pasture weeds when applied early in the season,false,0,0,14,none,KILLS,true,true,false,none,14,Hay treated with Chaparral in the preceding 18 months CANNOT be distributed off the farm. Use a reduced rate of NIS on tall fescue,Table 1 p.5
IPM-010,Cimarron Max,"metsulfuron + dicamba + 2,4-D",perennial_grass,POST,Part A 0.25-1 oz plus Part B 1-4 pt,Apply to actively growing weeds,false,0,0,37,0,KILLS,false,false,false,none,none,Will control Pensacola bahiagrass. Will injure tall fescue with Part A rates above 0.25 oz,Table 1 p.5
IPM-011,Various (4 lb/gal),dicamba,perennial_grass,POST,8-32 fl oz,Apply to annual weeds when small and actively growing. Apply to perennial weeds when larger later in the season,false,40,0,70,30,KILLS,false,false,true,none,none,Do not use more than 32 fl oz per acre per season. Will kill clovers alfalfa and other legumes,Table 1 p.5
IPM-012,Crossbow,"2,4-D ester + triclopyr",perennial_grass,POST,1-4 qt,Apply when weeds are actively growing. Best time to treat biennial and winter annual weeds is when the plant is in rosette stage,false,next_season,0,7,3,KILLS,true,false,true,none,none,May not be applied to forage that is to be cut and sold for commercial purposes. Do not allow lactating dairy animals to graze treated areas until the next growing season,Table 1 p.5
IPM-013,Distinct,diflufenzopyr + dicamba,perennial_grass,POST,2-8 oz,Apply when weeds are small and actively growing,false,0,0,7,none,KILLS,false,false,false,none,none,Will kill clovers alfalfa and other legumes. Do not apply to newly seeded grass,Table 1 p.6
IPM-014,Duracor,aminopyralid + florpyrauxifen-benzyl,perennial_grass,POST,12-20 fl oz,Apply when weeds are small and actively growing,false,3,3,14,none,KILLS,true,true,false,none,none,Residue in hay and manure can cause off-site damage to sensitive plants,Table 1 p.6
IPM-015,Facet L,quinclorac,perennial_grass,POST,22-32 fl oz,Apply when weeds are small and actively growing,false,0,0,7,none,UNKNOWN,false,false,false,none,none,Apply with COC at 1 percent v/v or MSO at 1 to 2 pints per acre,Table 1 p.6
IPM-016,ForeFront HL/GrazonNext HL,"aminopyralid + 2,4-D",perennial_grass,POST,1.2-2.1 pt,Apply to annual weeds when small and actively growing. Apply to perennial weeds during rosette stage,false,0,0,7,0,KILLS,true,true,false,none,14,Residue in hay and manure can cause off-site problems. May increase the palatability of poisonous plants,Table 1 p.6
IPM-017,Freelexx,"2,4-D choline",perennial_grass,POST,2-4 pt,Apply during warm weather when weeds are small and actively growing,false,0,0,7,none,KILLS,false,false,false,none,none,Apply to established grass forage. Do not apply more than 8.42 pt per acre per season,Table 1 p.7
IPM-018,Graslan L,"picloram + 2,4-D choline",perennial_grass,POST,1-5 pt,Apply when weeds are small and actively growing,true,7,0,30,none,KILLS,true,true,false,none,none,Restricted Use Pesticide. Apply no more than 10 pints per acre per year,Table 1 p.7
IPM-019,Grazon P+D,"picloram + 2,4-D",perennial_grass,POST,1-8 pt,Apply to annual weeds when small and actively growing,true,7,0,30,3,KILLS,true,true,false,none,none,Restricted Use Pesticide. Do NOT use treated grass or manure from animals being fed treated grass for composting,Table 1 p.7
IPM-020,"Impose, Plateau",imazapic,perennial_grass,POST,4-12 fl oz,Apply after bermudagrass has reached 100 percent green-up,false,0,0,7,0,UNKNOWN,false,false,false,none,none,Only apply on bermudagrass. Some varieties including Jiggs are more sensitive. Do not use on World Feeder bermudagrass,Table 1 p.7
IPM-021,Milestone,aminopyralid,perennial_grass,POST,3-7 fl oz,Apply to control broadleaf weeds prior to grass planting or after grasses are well established,false,0,0,0,0,KILLS,true,true,false,none,none,DO NOT apply in area of desirable legumes. DO NOT use treated hay or manure off-site,Table 1 p.8
